Nama Konser,Tempat,Tanggal,Line-up 1,Line-up 2,Line-up 3,Harga Tiket VIP,Harga Tiket Reguler
Rocking Jakarta,Stadion Utama Gelora Bung Karno,Jakarta,1 Agustus 2023,Andra and The Backbone,Navicula,The SIGIT,500000,250000
Rock Fest Surabaya,Gelora Delta Sidoarjo,Surabaya,19 Agustus 2023,Endank Soekamti,Padi Reborn,Rocket Rockers,450000,200000
Rock Revolution Bandung,Gedung Sate,Bandung,11 September 2023,Superman Is Dead,Slank,Netral,400000,180000
Rock On Medan,Stadion Teladan,Medan,21 September 2023,Gigi,Jamrud,Fourtwnty,350000,150000
Rock the Island Bali,Pantai Kuta,Bali,30 September 2023,Sheila on 7,Burgerkill,Koil,400000,180000
Rock Legacy Yogyakarta,Stadion Maguwoharjo,Yogyakarta,5 Oktober 2023,J-Rocks,Seringai,Efek Rumah Kaca,450000,200000
Rock Anthem Makassar,Lapangan Karebosi,Makassar,17 Oktober 2023,NTRL,Endank Soekamti,Tipe-X,400000,180000
Rock Invasion Palembang,Stadion Gelora Sriwijaya,Palembang,27 Oktober 2023,Fourtwnty,Payung Teduh,The Changcuters,350000,150000
Rock Fest Solo,Stadion Manahan,Solo,10 November 2023,Ran,Naif,The Adams,450000,200000
Rock Symphony Jakarta,Istora Senayan,Jakarta,15 Desember 2023,Andra and The Backbone,Kotak,The SIGIT,500000,250000
