Nama Konser,Tempat,Tanggal,Line-up 1,Line-up 2,Line-up 3,Harga Tiket VIP,Harga Tiket Reguler
Konser Pop Extravaganza,Gelora Bung Karno,Jakarta,15 Juli 2023,Raisa,Isyana Sarasvati,Afgan,500000,250000
Konser Pop Hits Plaza Senayan,Plaza Senayan,Jakarta,25 Agustus 2023,Judika,Rossa,Andmesh Kamaleng,450000,200000
Konser Pop Dance Fever,ICE BSD,Tangerang,5 September 2023,Agnez Mo,Tulus,Nidji,400000,180000
Konser Pop Legends,Stadium Utama,Bandung,10 Oktober 2023,Sheila on 7,Padi Reborn,HIVI!,500000,250000
Konser Pop Ballad Serenade,Vanue A,Surabaya,20 November 2023,Yura Yunita,Maudy Ayunda,Rizky Febian,350000,150000
Konser Pop Indie Showcase,The Kasablanka,Jakarta,5 Desember 2023,Payung Teduh,Efek Rumah Kaca,Kunto Aji,400000,180000
Konser Pop Melayu Sensasi,Colosseum,Jakarta,10 Januari 2024,Anji,Armada,Wali Band,450000,200000
Konser Pop Dangdut Party,Diamond Club,Bandung,15 Februari 2024,Via Vallen,Nella Kharisma,Siti Badriah,350000,150000
Konser Pop R&B Soulful,The Foundry,Surabaya,20 Maret 2024,RAN,Maliq & D'Essentials,Teddy Adhitya,400000,180000
Konser Pop Acoustic Serenity,Rooftop Garden,Bali,5 April 2024,Rizky Febian,Tulus,Maudy Ayunda,350000,150000
