Nama Konser,Tempat,Tanggal,Lineup-1,Lineup-2,Lineup-3,Harga Tiket VIP,Harga Tiket Reguler
Jazz Night at Jakarta,Jakarta Convention Center,Jakarta,15 Agustus 2023,John Smith,Jane Doe,David Johnson,750000,350000
Jazz in the Garden,Taman Bunga Bandung,Bandung,23 Agustus 2023,Amy Williams,Robert Davis,Sarah Thompson,500000,250000
Bali Jazz Festival,Bali Nusa Dua Convention Center,Bali,30 Agustus 2023,Michael Wilson,Laura Anderson,Chris Parker,800000,400000
Jazz by the Beach,Pantai Sanur,Bali,02 September 2023,Emily Clark,Thomas Roberts,Natalie Lee,400000,200000
Jazz in the Old Town,Kota Tua Jakarta,Jakarta,10 September 2023,Matthew Brown,Olivia Garcia,Andrew Taylor,600000,300000
Jazz on the Hill,Bukit Darmo Golf Surabaya,Surabaya,18 September 2023,Sophia Martinez,James Wilson,Lily Davis,450000,200000
Jazz by the Lake,Danau Toba,Samosir,05 Oktober2023,William Turner,Victoria White,Mark Adams,700000,350000
Jazz Harmony Festival,Gedung Kesenian Yogyakarta,Yogyakarta,13 Oktober 2023,Ava Green,Christopher Moore,Grace Hall,550000,250000
Jazz at the Pier,Pantai Losari Makassar,Makasar,11 November 2023,Daniel Mitchell,Isabella Lewis,Joseph Walker,400000,200000
Jazz in the City,Jogja National Museum,Yogyakarta,02 Desember 2023,Emily Harris,Nathan King,Samantha Carter,500000,250000
